"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen"
"Devin","Irving","","123","1992 Honda Civic EG","XB","47.945","40.705","1","64","42","","49.165","","48.603","","47.945",""
"Nikolai","A Gybin","","757","2023 Toyota GR86","N","47.949","47.949","1","108","43","","49.536","","48.377","1","47.949",""
"Tanya","Miller","","179","2016 Volkswagen GTI","STH","47.964","38.946","2","38","44","","50.628","2","48.957","1","47.964",""
"Jason","Grant","","748","1990 Chevrolet Corvette","CAMS","47.971","40.679","2","63","45","","54.2","","72.872","RERUN","40.838","RERUN","77.59","RERUN","48.533","","47.971",""
"Peter","Hsu","","8","2019 Honda Type R","Z-DS","47.997","38.877","6","36","46","","47.937","DNF","47.997","","55.353","DNF"
"Jess","Meyer","","28","1980 Porsche 911","SS","48.027","40.102","2","58","47","","48.397","1","48.59","","48.027",""
"Alan","Yau","","127","2023 Toyota GR86","Z-DS","48.030","38.904","7","37","48","","48.662","DNF","48.03",""
"Koun","Phah Moua","","105","2017 Volkswagen GTI","STH","48.254","39.182","3","43","49","","51.152","1","48.254","","48.33",""
"Terry","Schuster","","165","2003 Nissan 350z","XA","48.260","40.731","10","65","50","","51.768","","48.26",""
"Emilio","Rescigno","","17","1999 Mazda Miata","ES","48.265","38.225","4","26","51","","78.373","RERUN 1","48.51","1","48.265","","48.367",""
"Peter","Nolden","","726","2020 Mazda MX-5 Club","CS","48.272","39.245","3","46","52","","48.272","","48.286","","53.292",""
"Ian","Schmitz","","47","2012 Mazda Mazdaspeed 3","STH","48.328","39.242","4","45","53","","51.195","","49.461","","48.328",""
"Gopihath","Ramchand","","360","2002 Honda S2000","XA","48.471","40.909","11","66","54","","43.622","DNF","45.159","DNF","48.471",""
"Dustin","Peterson","","65","2000 Chevrolet Camaro","CAMT","48.475","39.749","1","54","55","","49.548","","48.475","","48.652",""
"Max","Grant","","749","1990 Chevrolet Corvette","CAMS","48.512","41.138","3","70","56","","48.146","1","47.81","1","46.512","1"
"Kurt","Kloss","","719","2008 Infiniti M45x Tan","XA","48.686","41.090","12","68","57","","56.378","","49.507","","48.686",""
"Alexey","Savin","","743","2005 Honda S2000","XA","48.729","41.127","13","69","58","","48.729","","47.565","1"
"Randy","Cameron","","302","2012 Ford Mustang Boss 302","CAMC","48.757","40.273","4","59","59","","64.162","","50.914","","48.757",""
"Justin","Hirschuber","","541","2007 Chevrolet C6 Base","CAMS","48.981","41.535","4","73","60","","77.435","RERUN","51.801","","50.345","","48.981",""
"John","Harlow","","977","2023 Toyota gr86 10th Anniversary","DS","48.989","39.681","1","53","61","","50.483","","48.989","","55.364",""
"Steve","Meschke","","31","1990 Mazda Miata","Z-STS","48.995","39.979","9","57","62","","48.995","","48.454","2","54.257",""
"Blake","Wilson","","789","2020 Mazda MX-5 RF GT","CS","49.031","39.862","4","55","63","","51.743","DNF","49.031","","52.362",""
"Eric","Janssen","","320","2021 Husqvarna TS 348XD","HS","49.068","38.567","1","31","64","","49.741","","49.068","","52.717","DNF"
"Giuseppe","Pellizzer","","80","1999 Mazda 10AE Miata","ES","49.282","39.031","5","39","65","","50.062","1","49.671","","49.282",""
"Harold","Kachelmyer","","948","1986 Roman Industries XR4x4Ti","XA","49.341","41.643","14","76","66","","51.674","","49.341",""
"Steven"," Buetow","","158","2000 Birkin S-3","STS","49.384","40.297","1","60","67","","51.151","DNF","50.723","1","49.384",""
"Ron","Schwanz","","48","1990 Mazda Miata","P-STS","49.495","40.387","14","61","68","","54.312","","49.807","","49.495",""
"Lucas","Firkins","","30","2000 Mazda Mx-5 Miata","N","49.708","49.708","2","111","69","","52.232","","50.724","","49.708",""
"John","Qualheim","","871","2018 Ford Fiesta ST","Z-HS","49.784","39.130","8","42","70","","49.55","1","60.058","","49.784",""
"Pheng","Her","","525","2023 Subaru BRZ","N","50.223","50.223","3","112","71","","62.648","","50.223","","49.518","1"
